,brand,name,category
768,oak-leaf,oak-leaf,wine
769,hornitos,sauza-hornitos,tequila
787,stella-rosa,stella-rosa,wine
788,sauza,sauza-tequila,tequila
791,homebrewstuff,irish-red,beer
793,online,biosilk-hydrating,alcohol
797,pat-obriens,pat-obriens,alcohol
802,angostura,angostura-aromatic,alcohol
804,great-value,great-value,alcohol
860,rockdale,rockdale-light,beer
862,hornitos,hornitos-reposado,tequila
865,effen,effen-cucumber,vodka
867,virgils,***discontinued***virgils-bg19411,beer
870,trouble-brewing,trouble-brewing,alcohol
871,sauza,hornitos-plata,tequila
878,budweiser,budweiser-lager,beer
879,powerblanket-ice,beer-keg,beer
881,urban-moonshine,urban-moonshine,gin
883,dirty-sue,dirty-sue,alcohol
941,dailys,dailys-margarita,alcohol
942,american-beverage,big-bucket,alcohol
949,fever-tree,fever-tree174,alcohol
962,cobblestone-bread-co.,cobblestone-bread,gin
973,woodbridge,woodbridge-by,wine
1011,jose-cuervo,jose-cuervo,gin
1015,pain-is-good,pain-is,alcohol
1018,bud-liight-lime,bud-light,alcohol
1019,pinnacle,pinnacle-whipped,vodka
1033,jack-daniels,jack-daniels,whiskey
1054,schweppes,schweppes-diet,alcohol
1069,apothic,apothic-red,wine
1080,jose-cuervo,jose-cuervo174,alcohol
1127,angostura,16oz.-angostura,alcohol
1128,bittermens,bittermens-xocolatl,alcohol
1256,margaritaville,margaritaville-margarita,alcohol
1258,gmax,gmax-g144105,wine
1312,jim-beam,jim-beam,alcohol
1326,sauza,sauza-signature,tequila
1329,clos-du-bois,clos-du,wine
1330,mogen-david,mogen-david,wine
1335,duplin,duplin-carolina,wine
1345,jose-cuervo,jose-cuervo174,gin
1357,blue-moon,blue-moon®,alcohol
1361,cra-z-art,cra-z-art-sidewalk,alcohol
1363,margaritaville,margaritaville-mango,alcohol
1376,gmax,gmax-g144104,wine
1388,urban-moonshine,original-digestive,gin
1394,sams-choice,sams-choice,alcohol
1396,great-value,great-value,gin
1453,woodford-reserve,woodford-reserve,alcohol
1454,dsa,malbec-fontana,wine
1462,mr.-&-mrs.-t,mr-&,alcohol
1471,shasta,shasta-variety,alcohol
1475,de-wafelbakkers,de-wafelbakkers,alcohol
1503,regatta,regatta-artisanal,beer
1504,mr.-&-mrs.-t,mr-_,whiskey
1506,manischewitz,manischewitz-potato,alcohol
1507,kalamera,kalamera-12,wine
1518,fiber-choice,fiber-choice,alcohol
1543,brewcraft,fermtech-wine/beer,beer
1557,powell-&-mahoney,powell-_,alcohol
1558,powell-&-mahoney,powell-_,gin
1561,belle,belle-red,wine
1562,bagel-bites,ore-ida174-bagel,alcohol
1565,coco-real,coco-real,alcohol
1567,motts-inc.,mr-_,gin
1575,regans,regans-orange,alcohol
1583,angostura,angostura-orange,alcohol
1590,helados-mexico,helados-mexico,alcohol
1592,brisk,brisk174-raspberry,alcohol
1599,home-brew-ohio,plain-gold,beer
1606,home-brew-ohio,cote-des,wine
1620,alstertor,alstertor-mustard,alcohol
1628,carmex,carmex-lip,gin
2673,les-trois-petits-cochons,dry-cured,alcohol
2674,goya-food,goya-cooking,wine
2682,roland,don-bruno,alcohol
2683,vita,vita-wild,wine
2684,home-brew-ohio,pasteur-red,wine
2702,up-up153,lubricant-eye,alcohol
2703,silver-spring,silver-spring,beer
2707,vintage-wine-estates,sh-11/13,wine
2709,home-brew-ohio,pectic-enzyme,alcohol
2735,vintage-wine-estates,vintage-wine,wine
2742,picketts,picketts-#1,beer
2753,fever-tree,fever-tree,beer
2785,briess,rye-malt,alcohol
2797,trademark-innovations,trademark-innovations,alcohol
2808,vintage-wine-estates,sh11/13-vintage,wine
2811,kool-aid,kool-aid-bursts,alcohol
2814,melitta,melitta-café,alcohol
2816,"american-euro-foods,-llc",bellei-white,wine
2829,home-brew-ohio,1-lb.,beer
